months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,blank_cells,has_umbrella,umbrella_limit_missing,policy_annual_premium_missing,policy_deductible_missing,claim_sum_parts,claim_recon_error,claim_recon_flag,log1p_total_claim_amount,log1p_injury_claim,log1p_property_claim,log1p_vehicle_claim,coverage_proxy,premium_per_coverage,deductible_ratio,agi_simple
235.0,42.0,543610,2002/05/26,OH,100/300,500,1253.12,4000000,462283,FEMALE,Masters,exec-managerial,dancing,other-relative,38400.0,0,2015/01/06,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,1558 1st Ridge,22,1,YES,2,2,?,87010.0,7910.0,15820.0,63280,Ford,F150,2002,N,0,1,0,0,0,87010.0,0.0,0,11.373789826425874,8.976009475021396,9.669093450449065,11.055340405097962,300000.0,0.004177066666666666,0.0016666666666666668,0.004177762844444444
447.0,61.0,214618,1999/05/29,OH,100/300,2000,1200.0,0,615561,FEMALE,High School,exec-managerial,skydiving,other-relative,0.0,51000,2015/02/15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,5971 5th Hwy,21,3,YES,1,2,YES,114920.0,17680.0,17680.0,79560,Audi,A3,2006,N,0,0,0,0,0,114920.0,0.0,0,11.6520002147609,9.780245895678089,9.780245895678089,11.284279302019131,300000.0,0.004,0.006666666666666667,0.0040026666666666665
60.0,23.0,842643,1997/11/20,OH,500/1000,500,1215.36,3000000,432220,MALE,MD,protective-serv,reading,wife,0.0,0,2015/01/22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,9,1,YES,1,0,NO,56520.0,4710.0,9420.0,42390,Saab,95,2000,N,0,1,0,0,0,56520.0,0.0,0,10.942367529494035,8.45765547870004,9.150696519048669,10.654691354537883,1000000.0,0.00121536,0.0005,0.001215420768
121.0,34.0,626808,2012/10/26,OH,100/300,1000,936.61,0,464652,FEMALE,MD,armed-forces,bungie-jumping,wife,52800.0,32800,2015/01/08,Parked Car,?,Minor Damage,,SC,Springfield,6582 Elm Lane,5,1,NO,1,1,NO,7280.0,1120.0,1120.0,5040,Toyota,Highlander,2010,N,0,0,0,0,0,7280.0,0.0,0,8.893023494394711,7.02197642307216,7.02197642307216,8.525359754082631,300000.0,0.0031220333333333333,0.0033333333333333335,0.003123074011111111
180.0,38.0,644081,1998/12/28,OH,250/500,2000,1301.13,0,476685,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300.0,55500,2015/01/15,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,6851 3rd Drive,12,1,NO,0,2,YES,46200.0,4200.0,8400.0,33600,Dodge,Neon,2003,Y,0,0,0,0,0,46200.0,0.0,0,10.740756721857226,8.343077871169383,9.036106025364846,10.42231110741318,500000.0,0.0026022600000000003,0.004,0.002603300904
473.0,58.0,892874,1992/10/19,IN,100/300,2000,1131.4,0,458733,FEMALE,MD,transport-moving,movies,other-relative,55700.0,0,2015/01/29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,9573 Weaver Ave,12,4,YES,0,0,NO,63120.0,10520.0,10520.0,42080,Accura,MDX,1999,Y,0,0,0,0,0,63120.0,0.0,0,11.052808798233295,9.261128538808288,9.261128538808288,10.647351611387782,300000.0,0.0037713333333333336,0.006666666666666667,0.0037738475555555554
70.0,26.0,558938,2005/06/08,OH,500/1000,1000,1199.44,5000000,619884,MALE,College,machine-op-inspct,hiking,own-child,63600.0,0,2015/02/22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0,3,?,1,2,YES,52110.0,5790.0,5790.0,40530,Nissan,Maxima,2012,N,0,1,0,0,0,52110.0,0.0,0,10.86113133789376,8.66406026722579,8.66406026722579,10.609822392399646,1000000.0,0.00119944,0.001,0.001199559944
140.0,31.0,275265,2004/11/15,IN,500/1000,500,708.64,6000000,470610,MALE,High School,machine-op-inspct,reading,unmarried,53500.0,0,2015/01/06,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,4546 Tree St,9,1,NO,0,2,YES,77880.0,14160.0,7080.0,56640,Suburu,Legacy,2015,N,0,1,0,0,0,77880.0,0.0,0,11.262937299670778,9.55824698622306,8.865170419651774,10.944488383578978,1000000.0,0.00070864,0.0005,0.0007086754320000001
160.0,37.0,921202,2014/12/28,OH,500/1000,500,1374.22,0,472135,FEMALE,MD,craft-repair,yachting,other-relative,45500.0,37800,2015/01/19,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,19,1,YES,1,0,NO,72930.0,6630.0,13260.0,53040,Accura,TL,2015,N,0,0,0,0,0,72930.0,0.0,0,11.19726906766269,8.799510901368867,9.4925826756776,10.87882047837734,1000000.0,0.00137422,0.0005,0.0013742887110000002
196.0,39.0,143972,1992/08/02,IN,500/1000,2000,1475.73,0,477670,FEMALE,High School,handlers-cleaners,camping,own-child,57000.0,27300,2015/02/22,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8,3,?,2,0,NO,60400.0,6040.0,6040.0,48320,Nissan,Pathfinder,2014,N,0,0,0,0,0,60400.0,0.0,0,11.008760940077243,8.706324840138741,8.706324840138741,10.785621527758789,1000000.0,0.00147573,0.002,0.001476025146
460.0,62.0,183430,2002/06/25,IN,250/500,1000,1187.96,4000000,618845,MALE,JD,other-service,bungie-jumping,own-child,0.0,0,2015/01/01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,20,3,NO,1,0,?,47160.0,0.0,5240.0,41920,Suburu,Impreza,2011,N,0,1,0,0,0,47160.0,0.0,0,10.761322558837014,0.0,8.564267598802166,10.64354217367223,500000.0,0.00237592,0.002,0.002376395184
217.0,41.0,431876,2005/11/27,IL,500/1000,2000,875.15,0,442479,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700.0,0,2015/02/10,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8957 Weaver Drive,15,3,?,1,2,?,37840.0,0.0,4730.0,33110,Accura,RSX,1996,N,0,0,0,0,0,37840.0,0.0,0,10.541148449877936,0.0,8.461891875631148,10.407620832440994,1000000.0,0.00087515,0.002,0.00087532503
370.0,55.0,285496,1994/05/27,IL,100/300,2000,1200.0,0,443920,MALE,High School,prof-specialty,paintball,other-relative,72700.0,68200,2015/01/11,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,20,3,NO,0,0,YES,71520.0,17880.0,5960.0,47680,Suburu,Forrestor,2000,Y,0,0,0,0,0,71520.0,0.0,0,11.177746391852557,9.791493975575204,8.692993531219926,10.77228827467366,300000.0,0.004,0.006666666666666667,0.0040026666666666665
413.0,55.0,115399,1991/02/08,IN,100/300,2000,1268.79,0,453148,MALE,MD,priv-house-serv,chess,own-child,0.0,31000,2015/01/19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,15,1,?,2,2,?,98160.0,8180.0,16360.0,73620,Dodge,RAM,2011,Y,0,0,0,0,0,98160.0,0.0,0,11.494364266781965,9.0095696715137,9.702655732983075,11.206685590106176,300000.0,0.0042293,0.006666666666666667,0.004232119533333333
237.0,40.0,736882,1996/02/02,IN,100/300,1000,883.31,0,434733,MALE,College,craft-repair,kayaking,husband,25057.89474,53500,2015/02/24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,6,1,NO,1,3,NO,77880.0,7080.0,14160.0,56640,Ford,Escape,2005,N,0,0,0,0,0,77880.0,0.0,0,11.262937299670778,8.865170419651774,9.55824698622306,10.944488383578978,300000.0,0.0029443666666666667,0.0033333333333333335,0.002945348122222222
8.0,35.0,699044,2013/12/05,OH,100/300,2000,1266.92,0,613982,MALE,Masters,sales,polo,own-child,19123.4375,0,2015/01/09,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3418 Texas Lane,16,3,NO,1,3,YES,71500.0,16500.0,11000.0,44000,Ford,Escape,2006,Y,0,0,0,0,0,71500.0,0.0,0,11.177466714598282,9.711176264112805,9.305741456739437,10.691967639914864,300000.0,0.004223066666666667,0.006666666666666667,0.004225882044444445
257.0,43.0,863236,1990/09/20,IN,100/300,2000,1322.1,0,436984,MALE,High School,prof-specialty,golf,own-child,0.0,29200,2015/01/28,Parked Car,?,Minor Damage,Police,PA,Arlington,2533 Elm St,4,1,YES,1,3,YES,9020.0,1640.0,820.0,6560,Toyota,Camry,2005,N,0,0,0,0,0,9020.0,0.0,0,9.10731047165664,7.403061091090091,6.710523109452428,8.788898309344878,300000.0,0.0044069999999999995,0.006666666666666667,0.0044099379999999995
202.0,34.0,608513,2002/07/18,IN,100/300,500,848.07,3000000,607730,MALE,JD,exec-managerial,chess,not-in-family,31000.0,30200,2015/01/07,Vehicle Theft,?,Minor Damage,,VA,Northbrook,3790 Andromedia Hwy,5,1,YES,2,1,?,5720.0,1040.0,520.0,4160,Suburu,Forrestor,2003,Y,0,1,0,0,0,5720.0,0.0,0,8.651898894268529,6.947937068614969,6.255750041753367,8.333510708982942,300000.0,0.0028269000000000002,0.0016666666666666668,0.0028273711500000002
224.0,40.0,914088,1990/02/08,OH,100/300,2000,1291.7,0,609837,FEMALE,JD,sales,kayaking,not-in-family,0.0,55600,2015/01/08,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3220 Rock Drive,21,1,NO,1,0,YES,69840.0,7760.0,15520.0,46560,Dodge,Neon,2009,N,0,0,0,0,0,69840.0,0.0,0,11.153976508853129,8.95686647085414,9.649949224651184,10.748518559837908,300000.0,0.004305666666666667,0.006666666666666667,0.004308537111111111
241.0,45.0,596785,2014/03/04,IL,500/1000,2000,1104.5,0,432211,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0.0,0,2015/02/15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,5,1,NO,2,2,NO,91650.0,14100.0,14100.0,63450,Accura,TL,2011,N,0,0,0,0,0,91650.0,0.0,0,11.425743164283066,9.55400099583723,9.55400099583723,11.058023233459632,1000000.0,0.0011045,0.002,0.0011047208999999999
64.0,25.0,908616,2000/02/18,IL,250/500,1000,954.16,0,473328,MALE,Masters,prof-specialty,video-games,husband,53200.0,0,2015/01/18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,22,4,NO,0,0,?,75600.0,12600.0,12600.0,50400,Toyota,Corolla,2005,N,0,0,0,0,0,75600.0,0.0,0,11.233224789593368,9.441531454869692,9.441531454869692,10.827766295132466,500000.0,0.00190832,0.002,0.001908701664
166.0,37.0,666333,2008/06/19,IL,100/300,2000,1337.28,8000000,610393,MALE,JD,craft-repair,reading,husband,27500.0,0,2015/02/28,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,9038 2nd Lane,10,3,NO,2,2,?,67140.0,7460.0,7460.0,52220,Ford,F150,2006,Y,0,1,0,0,0,67140.0,0.0,0,11.114550164673927,8.917444732471514,8.917444732471514,10.86323999182082,300000.0,0.0044576,0.006666666666666667,0.004460571733333333
155.0,35.0,336614,2003/08/01,IL,500/1000,1000,1088.34,0,614780,FEMALE,Associate,adm-clerical,yachting,other-relative,81100.0,0,2015/02/24,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16,3,YES,2,3,NO,29790.0,3310.0,3310.0,23170,BMW,3 Series,2008,N,0,0,0,0,0,29790.0,0.0,0,10.301961613455438,8.105005537547246,8.105005537547246,10.05065677575275,1000000.0,0.00108834,0.001,0.0010884488339999998
114.0,30.0,584859,1992/04/04,IL,100/300,1000,1558.29,0,472248,MALE,High School,farming-fishing,video-games,wife,51400.0,64000,2015/01/09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,1,3,NO,1,2,?,77110.0,14020.0,14020.0,49070,Suburu,Impreza,2015,N,0,0,0,0,0,77110.0,0.0,0,11.253001221229496,9.54831148472113,9.54831148472113,10.801023507926637,300000.0,0.0051943,0.0033333333333333335,0.005196031433333333
149.0,37.0,990493,1991/01/13,IL,500/1000,500,1415.68,0,603381,MALE,PhD,prof-specialty,yachting,own-child,0.0,0,2015/02/12,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,17,1,YES,0,1,YES,64800.0,10800.0,5400.0,48600,Audi,A3,1999,N,0,0,0,0,0,64800.0,0.0,0,11.07907631432006,9.287394001418471,8.594339400592892,10.791399385808589,1000000.0,0.00141568,0.0005,0.0014157507840000002
147.0,33.0,129872,2010/08/08,OH,100/300,1000,1334.15,6000000,479224,MALE,High School,craft-repair,reading,not-in-family,53300.0,49200,2015/01/24,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,15,1,YES,2,0,YES,53100.0,10620.0,5310.0,37170,Mercedes,C300,1995,Y,0,1,0,0,0,53100.0,0.0,0,10.879951039444416,9.27058845232154,8.577535420422398,10.52328416634614,300000.0,0.004447166666666667,0.0033333333333333335,0.004448649055555556
62.0,28.0,200152,2003/03/09,IL,100/300,1000,988.45,0,430141,FEMALE,Masters,protective-serv,camping,unmarried,0.0,0,2015/01/09,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,4981 Weaver St,3,1,?,1,1,YES,60200.0,6020.0,6020.0,48160,Suburu,Forrestor,2004,Y,0,0,0,0,0,60200.0,0.0,0,11.005444242454628,8.703008637464448,8.703008637464448,10.782304843886733,300000.0,0.0032948333333333336,0.0033333333333333335,0.003295931611111111
289.0,49.0,933293,1993/02/03,IL,500/1000,2000,1222.48,0,620757,FEMALE,JD,priv-house-serv,golf,unmarried,0.0,0,2015/01/18,Parked Car,?,Minor Damage,,WV,Arlington,6676 Tree Lane,16,1,NO,1,1,YES,5330.0,1230.0,820.0,3280,Suburu,Legacy,2001,N,0,0,0,0,0,5330.0,0.0,0,8.581294116822761,7.115582126184454,6.710523109452428,8.0959035329611,1000000.0,0.00122248,0.002,0.0012227244959999999
431.0,54.0,485664,2002/11/25,IN,500/1000,2000,1155.55,0,615901,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700.0,0,2015/01/21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,4,3,?,2,0,?,62300.0,12460.0,6230.0,43610,Jeep,Wrangler,2007,N,0,0,0,0,0,62300.0,0.0,0,11.03973275601109,9.430359045942868,8.737292112544221,10.683064691094437,1000000.0,0.00115555,0.002,0.00115578111
199.0,37.0,982871,1997/07/27,IN,250/500,500,1262.08,0,474615,MALE,JD,tech-support,video-games,wife,48500.0,0,2015/01/08,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,3422 Flute St,4,1,?,0,3,NO,60170.0,10940.0,10940.0,38290,Nissan,Pathfinder,2011,Y,0,0,0,0,0,60170.0,0.0,0,11.004945787654156,9.30027247947679,9.30027247947679,10.55297016060981,500000.0,0.0025241599999999997,0.001,0.002524412416
79.0,26.0,206213,1995/05/08,IL,100/300,500,1451.62,0,456446,MALE,Associate,tech-support,kayaking,not-in-family,0.0,55700,2015/01/03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,19,1,NO,2,2,?,40000.0,8000.0,4000.0,28000,BMW,M5,2010,N,0,0,0,0,0,40000.0,0.0,0,10.59665973278358,8.987321812850125,8.294299608857235,10.239995502805316,300000.0,0.004838733333333333,0.0016666666666666668,0.004839539788888889
116.0,34.0,616337,2012/08/30,IN,250/500,500,1737.66,0,470577,MALE,Associate,transport-moving,chess,unmarried,0.0,24100,2015/01/01,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,5719 2nd Lane,1,1,?,1,1,?,97080.0,16180.0,16180.0,64720,BMW,X5,2001,Y,0,0,0,0,0,97080.0,0.0,0,11.483300960570345,9.691592993399809,9.691592993399809,11.077841002787297,500000.0,0.00347532,0.001,0.003475667532
37.0,38.0,448961,2006/04/30,IL,500/1000,500,1475.93,0,441648,FEMALE,College,prof-specialty,hiking,husband,0.0,67400,2015/01/16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17,3,YES,1,0,NO,51660.0,5740.0,5740.0,40180,Dodge,RAM,2010,N,0,0,0,0,0,51660.0,0.0,0,10.852458423798913,8.655388690167637,8.655388690167637,10.601149526063208,1000000.0,0.00147593,0.0005,0.0014760037965000003
106.0,30.0,790442,2003/04/13,OH,250/500,500,538.17,0,433782,FEMALE,PhD,transport-moving,reading,own-child,49700.0,60200,2015/02/10,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,23,1,NO,2,2,NO,51120.0,5680.0,5680.0,39760,Mercedes,E400,2005,N,0,0,0,0,0,51120.0,0.0,0,10.841950650675424,8.644882552557126,8.644882552557126,10.590641811359664,500000.0,0.0010763399999999998,0.001,0.0010764476339999998
269.0,44.0,108844,2007/12/05,IL,100/300,2000,1081.08,0,468104,MALE,JD,priv-house-serv,reading,unmarried,36400.0,28700,2015/02/14,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,14,1,YES,0,2,?,56400.0,11280.0,11280.0,33840,Toyota,Highlander,2014,N,0,0,0,0,0,56400.0,0.0,0,10.94024216782542,9.33087517360492,9.33087517360492,10.429428364110963,300000.0,0.0036035999999999998,0.006666666666666667,0.0036060023999999993
265.0,40.0,430029,2006/08/21,IL,250/500,1000,1454.43,0,459407,FEMALE,MD,protective-serv,yachting,husband,0.0,0,2015/02/21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,17,3,NO,2,3,?,55120.0,6890.0,0.0,48230,Accura,MDX,2002,N,0,0,0,0,0,55120.0,0.0,0,10.917286047758097,8.837971491357209,0.0,10.783757246831067,500000.0,0.00290886,0.002,0.002909441772
163.0,33.0,529112,1990/01/08,IN,100/300,500,1240.47,0,472573,FEMALE,Associate,other-service,polo,husband,35300.0,0,2015/02/18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,11,3,YES,1,1,?,77110.0,0.0,14020.0,63090,Honda,Civic,2014,N,0,0,0,0,0,77110.0,0.0,0,11.253001221229496,0.0,9.54831148472113,11.052333407611725,300000.0,0.0041349,0.0016666666666666668,0.0041355891500000005
355.0,47.0,939631,1990/03/18,OH,500/1000,2000,1273.7,4000000,433473,MALE,College,other-service,kayaking,husband,0.0,0,2015/01/10,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,8907 Tree Ave,19,3,NO,2,1,NO,62800.0,6280.0,6280.0,50240,Audi,A3,2003,Y,0,1,0,0,0,62800.0,0.0,0,11.047726275896393,8.74528448245438,8.74528448245438,10.824586705402588,1000000.0,0.0012737,0.002,0.00127395474
175.0,34.0,866931,2008/01/07,IN,500/1000,1000,1123.87,8000000,446326,FEMALE,PhD,protective-serv,dancing,other-relative,0.0,0,2015/02/26,Vehicle Theft,?,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,5,1,?,2,0,YES,7290.0,810.0,810.0,5670,Volkswagen,Passat,1995,N,0,1,0,0,0,7290.0,0.0,0,8.89439598980643,6.698268054115413,6.698268054115413,8.643120748014027,1000000.0,0.00112387,0.001,0.001123982387
192.0,35.0,582011,1997/03/10,IL,100/300,1000,1245.89,0,435481,FEMALE,Masters,exec-managerial,movies,wife,0.0,40300,2015/01/01,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,19,1,NO,0,0,?,76600.0,15320.0,7660.0,53620,Mercedes,C300,2000,N,0,0,0,0,0,76600.0,0.0,0,11.246365410473755,9.636979715315752,8.94389780251682,10.889696061373598,300000.0,0.004152966666666667,0.0033333333333333335,0.004154350988888889
430.0,59.0,691189,2004/01/10,OH,250/500,2000,1326.62,7000000,477310,MALE,MD,other-service,bungie-jumping,own-child,0.0,0,2015/01/03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,19,3,?,0,3,YES,81800.0,16360.0,8180.0,57260,Nissan,Pathfinder,1998,N,0,1,0,0,0,81800.0,0.0,0,11.31204474745499,9.702655732983075,9.0095696715137,10.955375042698002,500000.0,0.00265324,0.004,0.0026543012959999997
91.0,27.0,537546,1994/08/20,IL,100/300,2000,1073.83,0,609930,FEMALE,JD,farming-fishing,polo,husband,0.0,0,2015/01/17,Vehicle Theft,?,Trivial Damage,,NY,Arlington,2280 4th Ave,4,1,?,1,2,?,7260.0,1320.0,660.0,5280,BMW,M5,2008,N,0,0,0,0,0,7260.0,0.0,0,8.890272839380247,7.186144304522325,6.493753839851686,8.571870752706934,300000.0,0.003579433333333333,0.006666666666666667,0.0035818196222222216
217.0,39.0,394975,2002/06/02,IN,100/300,1000,1530.52,0,603993,MALE,College,armed-forces,basketball,not-in-family,0.0,0,2015/02/22,Vehicle Theft,?,Minor Damage,,WV,Northbend,2644 Elm Drive,8,1,?,2,1,YES,4300.0,430.0,430.0,3440,Toyota,Corolla,2000,N,0,0,0,0,0,4300.0,0.0,0,8.366602832783736,6.066108090103747,6.066108090103747,8.14351740579748,300000.0,0.005101733333333333,0.0033333333333333335,0.00510343391111111
